brand,platform,model,timestamp,engagement,likes,comments,shares,reactions,url,caption,text,hashtags,thumbnail,classification_reason,classification_confidence
BYD,instagram,BYD Sealion 5,2025-10-10T08:02:12+00:00,80,80,0,0,0,https://www.instagram.com/p/DPnwxr1EYcJ/,"The wait is over — the road is ready for you.

Step into the BYD Test Drive Experience at Port City Colombo and feel the rush of pure innovation.

From the all-new BYD Sealion 5 to our full New Energy range, this is your chance to experience the perfect blend of power, precision, and performance.

📍 The Mall, Port City Colombo
📅 10th – 12th October 2025 | 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture",,"BYDSriLanka, BYDDriveExperience, BYDTestDrive, DriveTheFuture",https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/559583242_122223689036123456_7329837990721042318_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFtA87aqJxZw2Psz0vL2jbrjS75Nl3BPi0zziWgLj5MB_nfNvLWLu9a9zH-y5kwBIc&_nc_ohc=UZ7zQ4gCZg8Q7kNvwFqyNyk&_nc_gid=wfERspPoULs2GSs5JJsUAQ&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afc_7bYIoV-68OjwTDr4RzdEgZXtdvHo-t13ITN-oTRlEg&oe=68EE9E3C&_nc_sid=10d13b,"The text mentions 'BYD Sealion 5', which is not a target model but is specifically named in the post. The image also shows a vehicle with 'BYD Sealion 5' on the front, supporting the classification.",95
BYD,instagram,Sealion 5,2025-10-09T08:13:17+00:00,112,112,0,0,0,https://www.instagram.com/p/DPlNP2lgcJL/,"The BYD Test Drive Experience Returns!

Get ready to experience the future in motion at The Mall Port City Colombo — bigger, bolder, and driven by innovation. Experience the full BYD New Energy lineup, including the all-new BYD Sealion 5, where innovation meets power and precision.​

This isn’t just a test drive, it’s your moment to feel the torque, own the road, and drive the future. Whether you seek power, comfort, or cutting-edge innovation, there’s a BYD built for you.

📍 The Mall Port City Colombo
📅 10th – 12th October 2025
🕓 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture",,"BYDSriLanka, BYDDriveExperience, BYDTestDrive, DriveTheFuture",https://instagram.fcps4-1.fna.fbcdn.net/v/t39.30808-6/558754381_122223565652123456_6252360515346299362_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fcps4-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFePaca9ifhe51ixxshzuwhuguziNp4DYfjtX5prekT3VaVpAsaSKcDKCT37z_doxS1JESL-Oe7LW_kB-pb5UwN&_nc_ohc=PoiINmpqskgQ7kNvwGFuoVm&_nc_gid=zCETskm8l1G-ECqBk_F46g&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afd1p2L-jcf1WAwzjsj2WQge8SUAL2uIbs-G9KnKo7jHdw&oe=68EEA91F&_nc_sid=10d13b,"The text mentions the BYD Sealion 5, which is a specific vehicle model not listed in the target models (Sealion 6, atto 3). According to the classification rules, if the text mentions other vehicle models not in the target list, we should use that model name.",95
BYD,instagram,general_automotive,2025-10-08T03:32:30+00:00,85,85,0,0,0,https://www.instagram.com/p/DPiIUhVkQ3c/,"With BYD, every stop takes you further.​
​
Regenerative braking transforms deceleration into energy, extending your range, protecting your brakes, and delivering efficiency engineered into every drive.​
​
Smarter performance. Built into every journey.​
​
#BYD #BYDSriLanka #BuildYourDreams  #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV",,"BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/558703707_122223390632123456_1254126615284302113_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFkLQRtrt16ZskCufldwjjUN5vCL1gkBPyoQ3S-SMqtzO62UMp-b4Rzrjf3YhoLFviB8BvSKliNrP1MaWNWfM1L&_nc_ohc=QfPtKI32RqoQ7kNvwFtPfUZ&_nc_gid=dwiWXXM3mINb0jxCNt46KA&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfdQBa6HntkvLutI3C5F_-LrOr3D4eLBl5Xo0JkVQ0UuHg&oe=68EEAEFF&_nc_sid=10d13b,"The text and image focus on BYD's regenerative braking technology without mentioning any specific vehicle model, including the target models Sealion 6 or Atto 3.",90
BYD,instagram,Sealion 6,2025-10-04T09:30:09+00:00,45,45,0,0,0,https://www.instagram.com/p/DPYeEfQgtb8/,"Our customer Prasad Jayasundara shares his longest journey to Kandy, where he truly enjoyed the Kadugannawa hill road — experiencing the Sealion 6’s powerful acceleration, smooth handling, and unmatched comfort throughout the drive.

#BYDSriLanka #Sealion6 #GoFurther #CustomerStories",,"BYDSriLanka, Sealion6, GoFurther, CustomerStories",https://scontent-mia3-3.cdninstagram.com/v/t39.30808-6/554082086_122221797398123456_4372850932063565237_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QG8Yn_JYiuqLBJb9KdOW5en0XxBQVR9ixaxxJwV5n8RRV8juggyah1shn0PZJcbAl94UMBNUf0OqlJO6BxURjDS&_nc_ohc=OHrXmRUv3FwQ7kNvwFk0FK4&_nc_gid=W5eOfqM_WpFDEuL81KTRkA&edm=APs17CUAAAAA&ccb=7-5&oh=00_AffNfZrwTg53aM08P4GncC2_dvRaLWhsqDWqO-ukQNsmoQ&oe=68EEB123&_nc_sid=10d13b,"The text explicitly mentions 'Sealion 6' as the vehicle model used by the customer. Additionally, the image contains the text 'BYD Sealion 6', supporting the classification.",100
BYD,instagram,atto 3,2025-10-10T02:30:15+00:00,51,51,0,0,0,https://www.instagram.com/p/DPnKyRwEj7a/,"Precision engineering demands precision care. ​
​
Improper repairs at unauthorized garages don’t just risk damaging your BYD they void your warranty and compromise long-term reliability. Protect your investment. Trust only BYD Authorized Service Centers for maintenance and repairs.​
​
Schedule your appointments at BYD Service centers​
​
Visit us at 
📍No. 60, Negombo Road, Wattala ​
📍No 186, Vauxhall St, Colombo 02​
​
Open Monday – Saturday ​
8:00 AM – 5:00 PM​
​
Call us now 📞 0112 125 125 ​
Learn more at https://www.johnkeellscgauto.com/ ​
​​
Stay tuned for more #BYDSafeGuide tips designed to keep your BYD performing at its peak.​
​
#BYD #BYDSriLanka #BuildYourDreams #BYDSafeGuide #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV",,"BYDSafeGuide, BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/557839911_122223650024123456_399509232365621897_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHAmH39cSnzTkk55UUL57oyy2QrGFR11kbfkZkAPaScqSE6XzkUpGqFz5uR66uOpn3sucTn1Ed1CzU-Bt7iO2GO&_nc_ohc=Onz4CikOcvwQ7kNvwFz6Mbd&_nc_gid=Hkq7s9xyu23TObh4GmXT2g&edm=APs17CUAAAAA&ccb=7-5&oh=00_AffVwtfMdK222eCcrUqLkemM_rUMgKclcbNgLnKeFE7Hww&oe=68EEBD61&_nc_sid=10d13b,"The text and image both mention the BYD Atto 3 model. The image clearly shows the vehicle with the label 'BYD Atto 3', and the text supports this by discussing BYD vehicles in general.",95
BYD,facebook,general_automotive,2025-10-10T08:02:08+00:00,92,83,3,3,3,https://www.facebook.com/61553703684597/posts/122223689300123456,"The wait is over — the road is ready for you.

Step into the BYD Test Drive Experience at Port City Colombo and feel the rush of pure innovation.

From the all-new BYD Sealion 5 to our full New Energy range, this is your chance to experience the perfect blend of power, precision, and performance.

📍 The Mall, Port City Colombo
📅 10th – 12th October 2025 | 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture","The wait is over — the road is ready for you.

Step into the BYD Test Drive Experience at Port City Colombo and feel the rush of pure innovation.

From the all-new BYD Sealion 5 to our full New Energy range, this is your chance to experience the perfect blend of power, precision, and performance.

📍 The Mall, Port City Colombo
📅 10th – 12th October 2025 | 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture","BYDSriLanka, BYDDriveExperience, BYDTestDrive, DriveTheFuture",https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-6/559583242_122223689036123456_7329837990721042318_n.jpg?stp=dst-jpg_p526x395_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=BUKU-eZ_FCUQ7kNvwH3Z5kT&_nc_oc=AdkBNT64MFJbGJZkpf_HRIIfVmtqOpUwLdaI1iwfWcVCvYMdYLpWNA4siEwalr-vuZw&_nc_zt=23&_nc_ht=scontent-bos5-1.xx&_nc_gid=-hajtCwvtHNgKfYGakbrJg&oh=00_AffY5BMkJS3kuhdjdpUW6Y_1S7Rlsu9oZB6zwqZVrqDA1g&oe=68EE9E3C,"The text mentions BYD Sealion 5, which is not in the target models list (Sealion 6, atto 3). The image does not provide additional information to identify a specific model from the target list.",85
BYD,facebook,atto 3,2025-10-10T02:30:09+00:00,56,44,7,2,3,https://www.facebook.com/61553703684597/posts/122223654836123456,"Precision engineering demands precision care. ​
​
Improper repairs at unauthorized garages don’t just risk damaging your BYD they void your warranty and compromise long-term reliability. Protect your investment. Trust only BYD Authorized Service Centers for maintenance and repairs.​
​
Schedule your appointments at BYD Service centers​
​
Visit us at 
📍No. 60, Negombo Road, Wattala ​
📍No 186, Vauxhall St, Colombo 02​
​
Open Monday – Saturday ​
8:00 AM – 5:00 PM​
​
Call us now 📞 0112 125 125 ​
Learn more at https://www.johnkeellscgauto.com/ ​
​​
Stay tuned for more #BYDSafeGuide tips designed to keep your BYD performing at its peak.​
​
#BYD #BYDSriLanka #BuildYourDreams #BYDSafeGuide #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","Precision engineering demands precision care. ​
​
Improper repairs at unauthorized garages don’t just risk damaging your BYD they void your warranty and compromise long-term reliability. Protect your investment. Trust only BYD Authorized Service Centers for maintenance and repairs.​
​
Schedule your appointments at BYD Service centers​
​
Visit us at 
📍No. 60, Negombo Road, Wattala ​
📍No 186, Vauxhall St, Colombo 02​
​
Open Monday – Saturday ​
8:00 AM – 5:00 PM​
​
Call us now 📞 0112 125 125 ​
Learn more at https://www.johnkeellscgauto.com/ ​
​​
Stay tuned for more #BYDSafeGuide tips designed to keep your BYD performing at its peak.​
​
#BYD #BYDSriLanka #BuildYourDreams #BYDSafeGuide #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","BYDSafeGuide, BYD, BYDSriLanka, BuildYourDreams, BYDSafeGuide, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-6/557839911_122223650024123456_399509232365621897_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=VpS4lt0KZw4Q7kNvwHmKexu&_nc_oc=AdkDQj6NpELwLTyWdQAIfc6N42DDBy_CX4ncSYbOPFuwhThdDu95iJZ_5YGwt7wnxYQ&_nc_zt=23&_nc_ht=scontent-bos5-1.xx&_nc_gid=-hajtCwvtHNgKfYGakbrJg&oh=00_Afd8ydX6RprAi2aUxqKJk71c9eJvXfIOYB6N32BmyrJeDA&oe=68EEBD61,"The text and image both mention the BYD Atto 3 model. The image prominently displays the Atto 3 vehicle, and the text emphasizes the importance of using authorized service centers for BYD vehicles, specifically mentioning the Atto 3.",95
BYD,facebook,Sealion 5,2025-10-09T08:13:14+00:00,121,89,14,15,3,https://www.facebook.com/61553703684597/posts/122223566072123456,"The BYD Test Drive Experience Returns!

Get ready to experience the future in motion at The Mall Port City Colombo — bigger, bolder, and driven by innovation. Experience the full BYD New Energy lineup, including the all-new BYD Sealion 5, where innovation meets power and precision.​

This isn’t just a test drive, it’s your moment to feel the torque, own the road, and drive the future. Whether you seek power, comfort, or cutting-edge innovation, there’s a BYD built for you.

📍 The Mall Port City Colombo
📅 10th – 12th October 2025
🕓 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture","The BYD Test Drive Experience Returns!

Get ready to experience the future in motion at The Mall Port City Colombo — bigger, bolder, and driven by innovation. Experience the full BYD New Energy lineup, including the all-new BYD Sealion 5, where innovation meets power and precision.​

This isn’t just a test drive, it’s your moment to feel the torque, own the road, and drive the future. Whether you seek power, comfort, or cutting-edge innovation, there’s a BYD built for you.

📍 The Mall Port City Colombo
📅 10th – 12th October 2025
🕓 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture","BYDSriLanka, BYDDriveExperience, BYDTestDrive, DriveTheFuture",https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-6/558754381_122223565652123456_6252360515346299362_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=kaw0a54F4jgQ7kNvwFHiqVi&_nc_oc=AdkOZlcYmWnwYx6fTptnUFJu8VkjaffO4GuV_dlPU21D9haKWRNlCpCDqJ9SGSTmIH8&_nc_zt=23&_nc_ht=scontent-bos5-1.xx&_nc_gid=-hajtCwvtHNgKfYGakbrJg&oh=00_Affxw2_BmH3rz7lTtqbD-CDf0Mr3Zq3EFUnCPfaQ8QQ6Yw&oe=68EEA91F,"The text mentions the BYD Sealion 5, which is not in the target model list. According to the classification rules, if the text mentions other vehicle models not in the target list, use that model name.",95
BYD,facebook,general_automotive,2025-10-08T03:32:28+00:00,138,97,33,5,3,https://www.facebook.com/61553703684597/posts/122223390980123456,"With BYD, every stop takes you further.​
​
Regenerative braking transforms deceleration into energy, extending your range, protecting your brakes, and delivering efficiency engineered into every drive.​
​
Smarter performance. Built into every journey.​
​
#BYD #BYDSriLanka #BuildYourDreams  #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","With BYD, every stop takes you further.​
​
Regenerative braking transforms deceleration into energy, extending your range, protecting your brakes, and delivering efficiency engineered into every drive.​
​
Smarter performance. Built into every journey.​
​
#BYD #BYDSriLanka #BuildYourDreams  #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/558703707_122223390632123456_1254126615284302113_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=7mN1X7bP9BkQ7kNvwFdbY2F&_nc_oc=AdnIc1-Vbam_suoNA7tMRbd190Ugol-267PI4bYnggyeabgs5k0-8EQiN6mXSapsUFI&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&_nc_gid=ELNC9Tu2bvdmMfYdCEq60w&oh=00_AfeY4lZH1c02U8nCOe66ZUcuMM4Ir5UHmpO-kvlabx60Fg&oe=68EEAEFF,The text and image focus on BYD's regenerative braking technology without mentioning any specific target models like Sealion 6 or Atto 3. The content is automotive-related but does not specify a model.,90
BYD,facebook,Sealion 6,2025-10-04T09:30:04+00:00,122,101,14,3,4,https://www.facebook.com/61553703684597/posts/122222869700123456,"Our customer Prasad Jayasundara shares his longest journey to Kandy, where he truly enjoyed the Kadugannawa hill road — experiencing the Sealion 6’s powerful acceleration, smooth handling, and unmatched comfort throughout the drive.

#BYDSriLanka #Sealion6 #GoFurther #CustomerStories","Our customer Prasad Jayasundara shares his longest journey to Kandy, where he truly enjoyed the Kadugannawa hill road — experiencing the Sealion 6’s powerful acceleration, smooth handling, and unmatched comfort throughout the drive.

#BYDSriLanka #Sealion6 #GoFurther #CustomerStories","BYDSriLanka, Sealion6, GoFurther, CustomerStories",https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/554082086_122221797398123456_4372850932063565237_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=yFaTq4r_Ns8Q7kNvwGagEI0&_nc_oc=Adl2wQCU0J9oIe2LEzuL4XreWgA7OWO65wpCer8ctGkG04VfHlTa5fA7513hecxVVw8&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&_nc_gid=ELNC9Tu2bvdmMfYdCEq60w&oh=00_Afe2rD5xJwvTJSLTtOq2WFK4N5yu1vwAe13oRe9Ag41vLA&oe=68EEB123,"The text explicitly mentions the 'Sealion 6', which is one of the target models. The description highlights the vehicle's features such as powerful acceleration, smooth handling, and unmatched comfort, which are associated with the Sealion 6.",95
