brand,platform,model,timestamp,engagement,likes,comments,shares,reactions,url,caption,text,hashtags,thumbnail,classification_reason,classification_confidence
BYD,instagram,BYD M6,2025-08-31T03:30:19+00:00,129,129,0,0,0,https://www.instagram.com/p/DOAR3UIDvk5/,"The BYD M6 is designed with your family in mind, offering spacious interiors where everyone can stretch out and enjoy the ride, along with ergonomic seating that keeps long journeys comfortable for kids and adults alike. With cutting-edge driver assistance to keep every trip safe and worry-free, the M6 makes every drive smoother, more relaxing, and filled with peace of mind making it the perfect choice for all your family’s mobility needs.​
​
Call us now 📞 0112 125 125 ​
Learn more at https://www.johnkeellscgauto.com/​
​
Visit your nearest BYD showroom today:​
📍 Colombo - 447, Union Place, Colombo 02​
📍 Kandy - 179, Katugastota Road, Kandy​
📍Galle - Southern Expressway Entrance Road, Nugaduwa, Galle​
📍Kurunegala - Colombo Road, Malpitiya, Boyagane​
📍Ampara - 431, Hospital Road, Ampara​
​
#BYD #BYDSriLanka #BuildYourDreams #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV",,"BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-den2-1.cdninstagram.com/v/t39.30808-6/540993576_122218567706123456_8924683982717365976_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHJKXI8sSavAWINSHwEoaXBS6ibJvnbTjVAiOL2EY-9bwLUniylpqBhPJBk8z88BAg&_nc_ohc=TXca9ATlIQcQ7kNvwGtNe7H&_nc_gid=tbw1uKRs6TiSWJ2Xe3dvgg&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afbwvg2_W5DyvzKM9RcOJ14K9iRCWfSuZyBxkSacPUkvAw&oe=68BEF976&_nc_sid=10d13b,"The text and image both mention the BYD M6 model explicitly, which is not one of the target models (sealion 6, atto 3). Therefore, according to the classification rules, the model should be classified as BYD M6.",95
BYD,instagram,sealion 6,2025-09-01T06:26:06+00:00,34,34,0,0,0,https://www.instagram.com/p/DODKxqGke8e/,"BYD Drive Series — Power Meets Possibility 

Step beyond the ordinary. From bold performance to next-level sustainability, our New Energy Vehicles bring technology and design together to transform every drive into the future.

📍Event Dates & Locations:
2nd September | 09:30-06:30pm | Keells Panadura – Galle Road 
3rd September | 09:30-06:30pm | Keells Wadduwa – Galle Road 
4th September | 09:30-06:30pm | Keells Kalutara – Galle Road 

You are invited to experience the New Energy Vehicle closer, explore every detail, and discover a smarter way to move.

#BYDSriLanka #BYDDriveSeries #DriveTheFuture",,"BYDSriLanka, BYDDriveSeries, DriveTheFuture",https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/541972377_122218901882123456_9123069092712569816_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGRXFfD9V0FVXeVOIQgiYKi_NTpDt7BI5wG3zsvUbk1zqc1sUD8eh6cMQxAtCSec_g&_nc_ohc=V5eNGwOV7U4Q7kNvwE-kz0o&_nc_gid=GlzWP6PUgy66U5kQAy3LEQ&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfZy2k1o1gCOI7p-brkXPxrWO4rSfeLyZhIIYrd1_V3AIQ&oe=68BEDE8B&_nc_sid=10d13b,"The text does not mention any specific model, but the image clearly shows the BYD Sealion 6, which matches the reference image for the Sealion 6 model.",90
BYD,instagram,YANGWANG U9,2025-08-30T12:00:24+00:00,62,61,1,0,0,https://www.instagram.com/p/DN-naIeDQuW/,"At 472.41 km/h, the YANGWANG U9 Track Edition rewrites history setting a new EV world speed record and proving the future of performance is already here.

#YANGWANGU9",,YANGWANGU9,https://instagram.fhio2-1.fna.fbcdn.net/v/t51.2885-15/540425709_17922498084104918_8303449312419421579_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fhio2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFhjvBmkL_Mnwmi-qX8kZGzggKIVfiflZlYCCWj4AhTd6Ns4pTqj3IB264ojds9DjY&_nc_ohc=28GxPDM7WlMQ7kNvwGdursx&_nc_gid=Gjo4O3CA_-ouGdlwCmUJ8Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfbyuwAptdvNlNOZF4pjRQ0vUH_ZRrqtlqwdLFcVb2BjtA&oe=68BED7C3&_nc_sid=10d13b,"The text and image both mention the YANGWANG U9 Track Edition, which is not in the target model list. The post is automotive-related and specifically about the YANGWANG U9.",95
BYD,instagram,atto 3,2025-08-30T03:30:09+00:00,69,69,0,0,0,https://www.instagram.com/p/DN9tDOziVMw/,"Have you ever imagined if a single vehicle can be packed with so many safety features to protect you from every angle?​

At BYD, rigorous attention to safety underpins every aspect of our design process, ensuring that protection and peace of mind are built into every drive.​
​
 Learn more at https://www.johnkeellscgauto.com/​
​
#BYD #BYDSriLanka #BuildYourDreams #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV",,"BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://instagram.fsan1-2.fna.fbcdn.net/v/t39.30808-6/540904571_122218567124123456_7869053792132589832_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fsan1-2.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QE0nU6_vOIx0qs_r9EfizLHc2b091wdkHxhwiVKu4Ijntp8VwhUOwCdq_jM8HJdHO0&_nc_ohc=2ZEfyyjOTU0Q7kNvwF8B548&_nc_gid=zEjbxbJt8OLycicn3E51ZA&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfY0vfdpSQdzxkTzTisAs1k6k48clW7JBcFu1ZjTginR5g&oe=68BEE175&_nc_sid=10d13b,"The text does not mention any specific model, but the image clearly shows 'BYD ATTO 3' with detailed safety features, supporting the classification as 'atto 3'.",95
BYD,instagram,general_automotive,2025-09-03T17:45:58+00:00,175,170,5,0,0,https://www.instagram.com/p/DOJiK4giLtn/,Latest Update : An Official Statement from John Keells CG Auto,,,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/541952171_17923002543104918_8218495190283733306_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGVxIn3TIraejoqQ-ojnAWYMTDYS_zP2Di-YQyUm6GOHl9_DfgVCeuCoe66Y5f739c&_nc_ohc=RGoIQ8DTjBkQ7kNvwGUgcqg&_nc_gid=OzTeeOXmxypp5jWJ99a8Qw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfYkVvyCxQs4v1zhTVJrrrMrRdEAWZ2tzycjLtZZa18Uaw&oe=68BEDFFF&_nc_sid=10d13b,"The text discusses BYD vehicles in general and legal proceedings related to them, but does not mention any specific model, including the target models 'sealion 6' or 'atto 3'.",90
BYD,facebook,general_automotive,2025-09-03T17:45:09+00:00,320,258,12,46,4,https://www.facebook.com/61553703684597/posts/122219198774123456,Latest Update : An Official Statement from John Keells CG Auto,Latest Update : An Official Statement from John Keells CG Auto,,https://scontent-phx1-1.xx.fbcdn.net/v/t39.30808-6/540680479_122219198732123456_4828074703370450241_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=AF7Y4in42MwQ7kNvwFt3zw1&_nc_oc=AdkZAcOeqw0WcU7l3DeXFWXNq6SdVx35DeizF_PxDZi_6eeE0kcJpR1F9bgMIYkwmz8&_nc_zt=23&_nc_ht=scontent-phx1-1.xx&_nc_gid=KoidyL2i6bvNA4KWykWKgw&oh=00_AfaCtDTbeGbTV44_hZDqX3vPYOGRr5dUe6eMGJPLrmUrkw&oe=68BEEC0E,The text discusses BYD vehicles in general without mentioning specific models like Sealion 6 or Atto 3. It focuses on legal proceedings and delivery issues related to BYD vehicles.,90
BYD,facebook,general_automotive,2025-09-01T06:26:04+00:00,73,50,5,15,3,https://www.facebook.com/61553703684597/posts/122218903286123456,"BYD Drive Series — Power Meets Possibility 

Step beyond the ordinary. From bold performance to next-level sustainability, our New Energy Vehicles bring technology and design together to transform every drive into the future.

📍Event Dates & Locations:
2nd September | 09:30-06:30pm | Keells Panadura – Galle Road 
3rd September | 09:30-06:30pm | Keells Wadduwa – Galle Road 
4th September | 09:30-06:30pm | Keells Kalutara – Galle Road 

You are invited to experience the New Energy Vehicle closer, explore every detail, and discover a smarter way to move.

#BYDSriLanka #BYDDriveSeries #DriveTheFuture","BYD Drive Series — Power Meets Possibility 

Step beyond the ordinary. From bold performance to next-level sustainability, our New Energy Vehicles bring technology and design together to transform every drive into the future.

📍Event Dates & Locations:
2nd September | 09:30-06:30pm | Keells Panadura – Galle Road 
3rd September | 09:30-06:30pm | Keells Wadduwa – Galle Road 
4th September | 09:30-06:30pm | Keells Kalutara – Galle Road 

You are invited to experience the New Energy Vehicle closer, explore every detail, and discover a smarter way to move.

#BYDSriLanka #BYDDriveSeries #DriveTheFuture","BYDSriLanka, BYDDriveSeries, DriveTheFuture",https://scontent-phx1-1.xx.fbcdn.net/v/t39.30808-6/541972377_122218901882123456_9123069092712569816_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=MHB8ViaQqXEQ7kNvwEPi4aq&_nc_oc=AdlcOyld0h3ZCA617K9QKZthVvXuuhn48YMd0ARJ8xuaDTnESpbR2AdHl2wf_vtpbak&_nc_zt=23&_nc_ht=scontent-phx1-1.xx&_nc_gid=KoidyL2i6bvNA4KWykWKgw&oh=00_AfaXNhEWUfa6q2a8YLUFIJSVwbC7ohgvX4hehSc0r5HacQ&oe=68BEDE8B,The text is automotive-related and mentions BYD's New Energy Vehicles but does not specify any target models like 'sealion 6' or 'atto 3'. The image supports the automotive context but does not specify a model.,85
BYD,facebook,BYD M6,2025-08-31T03:30:08+00:00,106,89,9,6,2,https://www.facebook.com/61553703684597/posts/122218768874123456,"The BYD M6 is designed with your family in mind, offering spacious interiors where everyone can stretch out and enjoy the ride, along with ergonomic seating that keeps long journeys comfortable for kids and adults alike. With cutting-edge driver assistance to keep every trip safe and worry-free, the M6 makes every drive smoother, more relaxing, and filled with peace of mind making it the perfect choice for all your family’s mobility needs.​
​
Call us now 📞 0112 125 125 ​
Learn more at https://www.johnkeellscgauto.com/​
​
Visit your nearest BYD showroom today:​
📍 Colombo - 447, Union Place, Colombo 02​
📍 Kandy - 179, Katugastota Road, Kandy​
📍Galle  - Southern Expressway Entrance Road, Nugaduwa, Galle​
📍Kurunegala - Colombo Road, Malpitiya, Boyagane​
📍Ampara - 431, Hospital Road, Ampara​
​
#BYD #BYDSriLanka #BuildYourDreams #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","The BYD M6 is designed with your family in mind, offering spacious interiors where everyone can stretch out and enjoy the ride, along with ergonomic seating that keeps long journeys comfortable for kids and adults alike. With cutting-edge driver assistance to keep every trip safe and worry-free, the M6 makes every drive smoother, more relaxing, and filled with peace of mind making it the perfect choice for all your family’s mobility needs.​
​
Call us now 📞 0112 125 125 ​
Learn more at https://www.johnkeellscgauto.com/​
​
Visit your nearest BYD showroom today:​
📍 Colombo - 447, Union Place, Colombo 02​
📍 Kandy - 179, Katugastota Road, Kandy​
📍Galle  - Southern Expressway Entrance Road, Nugaduwa, Galle​
📍Kurunegala - Colombo Road, Malpitiya, Boyagane​
📍Ampara - 431, Hospital Road, Ampara​
​
#BYD #BYDSriLanka #BuildYourDreams #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-phx1-1.xx.fbcdn.net/v/t39.30808-6/540993576_122218567706123456_8924683982717365976_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=07Kb-ZlH770Q7kNvwFY9ve_&_nc_oc=Adkr-xdVhcZ2Qegz0G-yNPcmYkBZyQm9HBXm2TjA7qpX4-BBkH6pNrXrkwgn8ArhDi0&_nc_zt=23&_nc_ht=scontent-phx1-1.xx&_nc_gid=KoidyL2i6bvNA4KWykWKgw&oh=00_AfbJwanqs0DLCxnfz-pFw-IuVrpLf6mtVAerPRuH14uKbg&oe=68BEF976,"The text and image both mention the BYD M6, which is not one of the target models (sealion 6, atto 3). Therefore, according to the classification rules, the model should be classified as BYD M6.",95
BYD,facebook,YANGWANG U9,2025-08-30T12:00:48+00:00,23,19,1,1,2,https://www.facebook.com/61553703684597/posts/122218699124123456,"At 472.41 km/h, the YANGWANG U9 Track Edition rewrites history setting a new EV world speed record and proving the future of performance is already here.

#YANGWANGU9","At 472.41 km/h, the YANGWANG U9 Track Edition rewrites history setting a new EV world speed record and proving the future of performance is already here.

#YANGWANGU9",YANGWANGU9,https://scontent-atl3-1.xx.fbcdn.net/v/t15.5256-10/539400777_1293470072180602_1135987073971937822_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=7965db&_nc_ohc=Xru2poRDZKMQ7kNvwHAhqyT&_nc_oc=Admn2wzbskkyrTxd27jHMpCggvFSUT9pcSucmd8m88TifRZ5IJciUyh5snqploZmveg&_nc_zt=23&_nc_ht=scontent-atl3-1.xx&_nc_gid=UNlZyYUyGollTfvXmZg3Rg&oh=00_AfbwLsad2jyJhOywS-MZsg6NGwvq4C3f9LrPzZ82FZlGAw&oe=68BEDC15,"The text and image both mention the YANGWANG U9 Track Edition, which is not one of the target models (sealion 6, atto 3). The post is automotive-related and specifically mentions a vehicle model.",95
BYD,facebook,atto 3,2025-08-30T03:30:04+00:00,51,41,2,6,2,https://www.facebook.com/61553703684597/posts/122218656884123456,"Have you ever imagined if a single vehicle can be packed with so many safety features to protect you from every angle?​

At BYD, rigorous attention to safety underpins every aspect of our design process, ensuring that protection and peace of mind are built into every drive.​
​
 Learn more at https://www.johnkeellscgauto.com/​
​
#BYD #BYDSriLanka #BuildYourDreams #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","Have you ever imagined if a single vehicle can be packed with so many safety features to protect you from every angle?​

At BYD, rigorous attention to safety underpins every aspect of our design process, ensuring that protection and peace of mind are built into every drive.​
​
 Learn more at https://www.johnkeellscgauto.com/​
​
#BYD #BYDSriLanka #BuildYourDreams #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/540904571_122218567124123456_7869053792132589832_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Htv8tRZKqXQQ7kNvwE-f0Aw&_nc_oc=AdkRpdTri79h8GXVQtw3lNxJpEOrbpikN6nOWGxGnfiBFpZmOSEjJqrQkws6pUsIqv0&_nc_zt=23&_nc_ht=scontent-atl3-1.xx&_nc_gid=UNlZyYUyGollTfvXmZg3Rg&oh=00_AfaZw0de2zoA4PFYFaRBR6zQAMIHBFwvChJHZRyeoSYm1Q&oe=68BEE175,"The text does not mention any specific model, but the image prominently features the BYD Atto 3 with detailed safety features, supporting the classification.",95
