brand,platform,model,timestamp,engagement,likes,comments,shares,reactions,url,caption,text,hashtags,thumbnail,classification_reason,classification_confidence
BYD,instagram,Sealion 5,2025-10-10T08:02:12+00:00,197,197,0,0,0,https://www.instagram.com/p/DPnwxr1EYcJ/,"The wait is over — the road is ready for you.

Step into the BYD Test Drive Experience at Port City Colombo and feel the rush of pure innovation.

From the all-new BYD Sealion 5 to our full New Energy range, this is your chance to experience the perfect blend of power, precision, and performance.

📍 The Mall, Port City Colombo
📅 10th – 12th October 2025 | 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture",,"BYDSriLanka, BYDDriveExperience, BYDTestDrive, DriveTheFuture",https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/559583242_122223689036123456_7329837990721042318_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHzWp7p9V4UJMt5DxxrWCFOQ4c48JJ0yhBJxXjXFJcyaYI2_vzODH6TJ7ub_y9E9kM&_nc_ohc=R6wDJSeCV84Q7kNvwGztifI&_nc_gid=R_hkjz-cT0yHeJWCimdrLA&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afeg0QIzqFWrgGXCXKf7dokGolWSIpyg6_y4t5EARjzV1w&oe=68F25A7C&_nc_sid=10d13b,"The text explicitly mentions 'BYD Sealion 5', which is one of the target models. The image also shows a vehicle labeled as 'BYD Sealion 5', supporting the classification.",95
BYD,instagram,Sealion 6,2025-10-11T09:30:06+00:00,27,27,0,0,0,https://www.instagram.com/p/DPqfoVKjooE/,"Our customers Shakeel Yoonus, Daki Nawaratne, and Surenbabu Thangaraj have taken their Sealion 6 to different destinations across our beautiful island. From diverse terrains to switching between drive modes, they’ve experienced the true comfort and versatility of New Energy mobility — enhancing every journey along the way.

Stay tuned as we bring you real journeys, real distances, and real experiences from Sealion 6 drivers.

#BYDSriLanka #Sealion6 #GoFurther #CustomerVoices",,"BYDSriLanka, Sealion6, GoFurther, CustomerVoices",https://scontent-dfw5-3.cdninstagram.com/v/t39.30808-6/552711564_122221797548123456_1129797566597143939_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHCH7466kFvvALlQla-GZ4P32Zr6rhVZnRXqIOUoPEVzabyzEn8uthhUQ_nitPCELc&_nc_ohc=WxNDVDryJnEQ7kNvwGrFPau&_nc_gid=KGwKgjqZ4XQ1VrpOxNqblQ&edm=APs17CUAAAAA&ccb=7-5&oh=00_AffI2dQ5tyUpswfAwJ4Z0NHgN91UOW6jdcH-3kZgqKB3_Q&oe=68F24D90&_nc_sid=10d13b,"The text explicitly mentions 'Sealion 6' multiple times, indicating that the post is specifically about this model. The image also supports this classification by prominently displaying 'BYD Sealion 6'.",100
BYD,instagram,general_automotive,2025-10-10T12:34:23+00:00,153,152,1,0,0,https://www.instagram.com/p/DPoP7L6kW5_/,"You came. You drove. You felt the future.​

From torque to tech, every moment behind the wheel brought pure New Energy excitement to life. 

And guess what? We’re not done yet. Day 2 of the BYD Drive Experience continues tomorrow at Port City Colombo, and the thrill’s only getting stronger.​

📍 The Mall, Port City Colombo
📅 11th – 12th October 2025 | 9:30 AM – 5:30 PM
T&Cs apply.

📸 Tag yourself and share your favorite moment using #BYDExperience​

#BYDSriLanka #BYDDriveExperience #BYDTestDrive",,"BYDExperience​, BYDSriLanka, BYDDriveExperience, BYDTestDrive",https://instagram.fcps4-1.fna.fbcdn.net/v/t39.30808-6/560572512_122223709508123456_7143657950117483851_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fcps4-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGKT-UiiyWrV9Syb0S9-PQhJxNFr2qogV60xmvr-3ebUPf7W-zwhAQzy6WXEVG4JSkDPI3MVMN083KWKie1cAt9&_nc_ohc=Q_rqvXvMNpkQ7kNvwEANY5f&_nc_gid=5ZQyXCdq8-kBGtgL05go9Q&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfezGf0SUVKH3fsX70FIpvFda1HzmQfQNNhOmsE-eURY8A&oe=68F2656C&_nc_sid=10d13b,"The text is automotive-related, discussing a BYD Drive Experience event, but does not mention any specific vehicle model from the target list or otherwise.",90
BYD,instagram,Sealion 5,2025-10-12T13:37:55+00:00,144,144,0,0,0,https://www.instagram.com/p/DPtgyUkEbd0/,"What a weekend. What an experience. ​

Three days of innovation, power, and performance, and you made it unforgettable.​

From the sleek lines of the BYD Sealion 5 to the full New Energy range, every drive proved one thing: the future is already here with BYD. 

Thank you to all of you, for being part of the BYD Drive Experience at the Port City.​

📸 Share your favorite moments with #BYDExperience​

#BYDSriLanka #BYDDriveExperience #BYDTestDrive",,"BYDExperience​, BYDSriLanka, BYDDriveExperience, BYDTestDrive",https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/560613459_122223924758123456_1644286954291225417_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHpY92WLVk5SFc2iDd6XBglDXH0ox4YpOurMGArXH97VmeN-RUldHfkKs8FRQ3QE-EKvX0RfCPfcdvQNXBJPEc6&_nc_ohc=rfePQKfl2QoQ7kNvwEnsGZl&_nc_gid=HJl3-PMmc5Njig0y3cHkDg&edm=APs17CUAAAAA&ccb=7-5&oh=00_AffXIHyFcOV1NzqHRMtC4-fyiGKIsl9aJlHw9Z9J7_OiKg&oe=68F26D08&_nc_sid=10d13b,"The text explicitly mentions 'BYD Sealion 5', which is one of the target models. Additionally, the image provided shows a vehicle with 'BYD Sealion 5' on the front, supporting the classification.",95
BYD,instagram,Sealion 5,2025-10-11T12:45:12+00:00,121,121,0,0,0,https://www.instagram.com/p/DPq19UvCDzA/,"Day 2 of the BYD Drive Experience turned up the energy, more test drives, more torque, and more people stepping into the future of driving.​

From the all-new BYD Sealion 5 to our full New Energy lineup, every moment was powered by innovation and excitement.​

We’ve got one more day left, so if you haven’t experienced it yet, now’s your time to drive the future. ​Drop into the Port City tomorrow, to experience the best of BYD. 

#BYDSriLanka #BYDDriveExperience #BYDTestDrive",,"BYDSriLanka, BYDDriveExperience, BYDTestDrive",https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/558751704_122223800624123456_5253074554332142926_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHrAagGNDUr-rqBxORHbtO20d0TogFf9R6KNKFLc9Mz-TWLfP460M6NKdg7yTuObC0&_nc_ohc=v9KqYfkus88Q7kNvwFUxKdB&_nc_gid=8lXIOn05Wdjg_8ymZokSAA&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfcIaATuFlx6K9cvI-py-VoPJie4Vp_osfmHYs6OcFu90Q&oe=68F260B9&_nc_sid=10d13b,"The text explicitly mentions 'BYD Sealion 5', which is one of the target models. The image supports the automotive context but does not specify a model.",95
BYD,facebook,Sealion 5,2025-10-12T13:37:50+00:00,77,68,4,2,3,https://www.facebook.com/61553703684597/posts/122223925190123456,"What a weekend. What an experience. ​

Three days of innovation, power, and performance, and you made it unforgettable.​

From the sleek lines of the BYD Sealion 5 to the full New Energy range, every drive proved one thing: the future is already here with BYD. 

Thank you to all of you, for being part of the BYD Drive Experience at the Port City.​

📸 Share your favorite moments with #BYDExperience​

#BYDSriLanka #BYDDriveExperience #BYDTestDrive","What a weekend. What an experience. ​

Three days of innovation, power, and performance, and you made it unforgettable.​

From the sleek lines of the BYD Sealion 5 to the full New Energy range, every drive proved one thing: the future is already here with BYD. 

Thank you to all of you, for being part of the BYD Drive Experience at the Port City.​

📸 Share your favorite moments with #BYDExperience​

#BYDSriLanka #BYDDriveExperience #BYDTestDrive","BYDExperience​, BYDSriLanka, BYDDriveExperience, BYDTestDrive",https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/560613459_122223924758123456_1644286954291225417_n.jpg?stp=dst-jpg_p526x395_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Ap3Jj_FmGBcQ7kNvwEGDJaX&_nc_oc=Adl0TkAJ7vUNIP8hT-YevvdT3ZjhL08Jt3T7tna2tbqnaDMxud8Wi5jAyFM7VLCqTHUWynTW1bCOsIxB0WiNa_b4&_nc_zt=23&_nc_ht=scontent-atl3-2.xx&_nc_gid=S3DRihdELE7kxsBWwmGUOA&oh=00_AffVCvYn7oBMdCVyuez2rUnPCXxhcIoBgjqaoNgkIAktMQ&oe=68F26D08,"The text explicitly mentions 'BYD Sealion 5', which is one of the target models. Additionally, the image provided shows a vehicle labeled as 'BYD Sealion 5', supporting the classification.",95
BYD,facebook,Sealion 5,2025-10-11T12:45:04+00:00,94,81,8,1,4,https://www.facebook.com/61553703684597/posts/122223804302123456,"Day 2 of the BYD Drive Experience turned up the energy, more test drives, more torque, and more people stepping into the future of driving.​

From the all-new BYD Sealion 5 to our full New Energy lineup, every moment was powered by innovation and excitement.​

We’ve got one more day left, so if you haven’t experienced it yet, now’s your time to drive the future. ​Drop into the Port City tomorrow, to experience the best of BYD. 

#BYDSriLanka #BYDDriveExperience #BYDTestDrive","Day 2 of the BYD Drive Experience turned up the energy, more test drives, more torque, and more people stepping into the future of driving.​

From the all-new BYD Sealion 5 to our full New Energy lineup, every moment was powered by innovation and excitement.​

We’ve got one more day left, so if you haven’t experienced it yet, now’s your time to drive the future. ​Drop into the Port City tomorrow, to experience the best of BYD. 

#BYDSriLanka #BYDDriveExperience #BYDTestDrive","BYDSriLanka, BYDDriveExperience, BYDTestDrive",https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-6/558751704_122223800624123456_5253074554332142926_n.jpg?stp=dst-jpg_p526x395_tt6&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=0m81QEhMGJAQ7kNvwH69pJv&_nc_oc=AdkYjF2jd3C1LJLyo7LgLM4qtvbkEMVIuQIIc75YHp88y3eFP-li4hUNZuB_tbi7R9AaGzmo7TXxPFvHc2UDBnh6&_nc_zt=23&_nc_ht=scontent-atl3-3.xx&_nc_gid=S3DRihdELE7kxsBWwmGUOA&oh=00_AfccblxtVZv1rJXqcAiOHhsj55Y22mtp5VqCqX_svXUrqg&oe=68F260B9,"The text explicitly mentions 'BYD Sealion 5', which is one of the target models. The image supports the automotive context but does not specify a model.",95
BYD,facebook,Sealion 6,2025-10-11T09:30:04+00:00,20,13,5,0,2,https://www.facebook.com/61553703684597/posts/122223789248123456,"Our customers Shakeel Yoonus, Daki Nawaratne, and Surenbabu Thangaraj have taken their Sealion 6 to different destinations across our beautiful island. From diverse terrains to switching between drive modes, they’ve experienced the true comfort and versatility of New Energy mobility — enhancing every journey along the way.

Stay tuned as we bring you real journeys, real distances, and real experiences from Sealion 6 drivers.

#BYDSriLanka #Sealion6 #GoFurther #CustomerVoices","Our customers Shakeel Yoonus, Daki Nawaratne, and Surenbabu Thangaraj have taken their Sealion 6 to different destinations across our beautiful island. From diverse terrains to switching between drive modes, they’ve experienced the true comfort and versatility of New Energy mobility — enhancing every journey along the way.

Stay tuned as we bring you real journeys, real distances, and real experiences from Sealion 6 drivers.

#BYDSriLanka #Sealion6 #GoFurther #CustomerVoices","BYDSriLanka, Sealion6, GoFurther, CustomerVoices",https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-6/552711564_122221797548123456_1129797566597143939_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=LENrrmnZWdsQ7kNvwFW0O4W&_nc_oc=Adlq0HTOYgoz1q0BRy4dn2VuDbEgI-E93VBFn902PwISDPGn-NgXhKXU92a6nuIXMkLGUaQ1BltABoOWiDvwQBYY&_nc_zt=23&_nc_ht=scontent-atl3-3.xx&_nc_gid=S3DRihdELE7kxsBWwmGUOA&oh=00_AffmN_JY8IJg0Fr8tfbiNlz7W2alFBM7ytAkdMg01Wy2vg&oe=68F24D90,"The text explicitly mentions 'Sealion 6' multiple times, indicating that the content is specifically about this model. The image also supports this classification by featuring the Sealion 6.",95
BYD,facebook,general_automotive,2025-10-10T12:34:18+00:00,98,87,6,1,4,https://www.facebook.com/61553703684597/posts/122223710096123456,"You came. You drove. You felt the future.​

From torque to tech, every moment behind the wheel brought pure New Energy excitement to life. 

And guess what? We’re not done yet. Day 2 of the BYD Drive Experience continues tomorrow at Port City Colombo, and the thrill’s only getting stronger.​

📍 The Mall, Port City Colombo
📅 11th – 12th October 2025 | 9:30 AM – 5:30 PM
T&Cs apply.

📸 Tag yourself and share your favorite moment using #BYDExperience​

#BYDSriLanka #BYDDriveExperience #BYDTestDrive","You came. You drove. You felt the future.​

From torque to tech, every moment behind the wheel brought pure New Energy excitement to life. 

And guess what? We’re not done yet. Day 2 of the BYD Drive Experience continues tomorrow at Port City Colombo, and the thrill’s only getting stronger.​

📍 The Mall, Port City Colombo
📅 11th – 12th October 2025 | 9:30 AM – 5:30 PM
T&Cs apply.

📸 Tag yourself and share your favorite moment using #BYDExperience​

#BYDSriLanka #BYDDriveExperience #BYDTestDrive","BYDExperience​, BYDSriLanka, BYDDriveExperience, BYDTestDrive",https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-6/560572512_122223709508123456_7143657950117483851_n.jpg?stp=dst-jpg_p526x395_tt6&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=BZ05F-Z_FNYQ7kNvwG9uznR&_nc_oc=AdmbByB66sSbZuM6iD-DZRcZm0dTGgW2cmM6hyT5qHrzPHic658cJJtkywCy0fUAjYs&_nc_zt=23&_nc_ht=scontent-mia5-1.xx&_nc_gid=J1snGRyZvO_lFK7Fcc9wYA&oh=00_AfcBpGZz5fJRNFfbLiK2XEOcgOdlxMCQ_fgPjlUjKjWmQA&oe=68F2656C,"The text is automotive-related, discussing a BYD Drive Experience event, but does not mention any specific target model by name. The image shows a BYD vehicle, but without specific model identification.",85
BYD,facebook,Sealion 5,2025-10-10T08:02:08+00:00,151,132,11,3,5,https://www.facebook.com/61553703684597/posts/122223689300123456,"The wait is over — the road is ready for you.

Step into the BYD Test Drive Experience at Port City Colombo and feel the rush of pure innovation.

From the all-new BYD Sealion 5 to our full New Energy range, this is your chance to experience the perfect blend of power, precision, and performance.

📍 The Mall, Port City Colombo
📅 10th – 12th October 2025 | 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture","The wait is over — the road is ready for you.

Step into the BYD Test Drive Experience at Port City Colombo and feel the rush of pure innovation.

From the all-new BYD Sealion 5 to our full New Energy range, this is your chance to experience the perfect blend of power, precision, and performance.

📍 The Mall, Port City Colombo
📅 10th – 12th October 2025 | 9:30 AM – 5:30 PM

T&Cs apply.

#BYDSriLanka #BYDDriveExperience #BYDTestDrive #DriveTheFuture","BYDSriLanka, BYDDriveExperience, BYDTestDrive, DriveTheFuture",https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-6/559583242_122223689036123456_7329837990721042318_n.jpg?stp=dst-jpg_p526x395_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=lKzGlqSMlVkQ7kNvwHeON6g&_nc_oc=AdmtQE5gbO8GPk21sP_bLXlR0b0KpYOfqR2lhq6vgUntBgnW63gTjwGZe7cA70pJU0I&_nc_zt=23&_nc_ht=scontent-mia5-1.xx&_nc_gid=J1snGRyZvO_lFK7Fcc9wYA&oh=00_Afdt2mw_xenxZdAHSg9Tk_wcqbWg2g92EMboSl_HXj2r4A&oe=68F25A7C,The text explicitly mentions 'BYD Sealion 5' as part of the test drive experience. The image provided does not contradict this classification.,95
