brand,platform,model,timestamp,engagement,likes,comments,shares,reactions,url,caption,text,hashtags,thumbnail,classification_reason,classification_confidence
BYD,instagram,Sealion6,2025-10-04T09:30:09+00:00,43,43,0,0,0,https://www.instagram.com/p/DPYeEfQgtb8/,"Our customer Prasad Jayasundara shares his longest journey to Kandy, where he truly enjoyed the Kadugannawa hill road — experiencing the Sealion 6’s powerful acceleration, smooth handling, and unmatched comfort throughout the drive.

#BYDSriLanka #Sealion6 #GoFurther #CustomerStories",,"BYDSriLanka, Sealion6, GoFurther, CustomerStories",https://scontent-dfw5-3.cdninstagram.com/v/t39.30808-6/554082086_122221797398123456_4372850932063565237_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEbTZjEbjARE1xGQkKFFl-0129uNG8i8YtLnRce_7lJq794uMsTpZXDYaMTG0OKcmg&_nc_ohc=2RkSvHdx3DAQ7kNvwG4Ka45&_nc_gid=I8gBjpQZ0XpKIX3a7XDtYQ&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afe8PpdJcqfFwajXRUG4NQxZIITM2luUvUaVPN3TPulxbQ&oe=68EBD5E3&_nc_sid=10d13b,"The text explicitly mentions 'Sealion 6' as the vehicle model used by the customer. Additionally, the image supports this classification by prominently displaying 'BYD Sealion 6'.",100
BYD,instagram,Sealion6,2025-09-30T14:06:00+00:00,228,223,5,0,0,https://www.instagram.com/p/DPOqdfNiK88/,Update : Official Statement from John Keells CG Auto,,,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/558041367_17926361526104918_6458549861722829866_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QHzKOrMxaaNxMOujnkh3UITHzf6gj-k-fohET4ez2gvSe_Hit1cFRhS2u1jKOShwaU&_nc_ohc=kb4qhM5NWe0Q7kNvwFoo7OR&_nc_gid=8pTBMWmO4A2Xac3M7nqdSQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffFiQEh51HvlubrYsSB8sFcoWwBDnfp4-ZCRl1VWt7OZQ&oe=68EBD601&_nc_sid=10d13b,"The text in the image mentions 'BYD SEALION 5 with a special discount', which partially matches the target model 'Sealion6'.",90
BYD,instagram,general_automotive,2025-10-01T04:42:42+00:00,164,162,2,0,0,https://www.instagram.com/p/DPQOynDATLh/,"Big dreams start with small steps. From playtime drives to future adventures, BYD is here to power the dreams of tomorrow’s explorers.

Wishing all little dreamers a Happy Children’s Day!",,,https://scontent-lax3-1.cdninstagram.com/v/t39.30808-6/556834518_122222514524123456_146831484536353837_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGkhhg99CE540WYlUDtB_Gg90Dmfj1SL8b3X7lTSNMm3sdDAK9IKVgQSpW5cbHqv7_WZrj3M5qSaDdUbWHIJh0e&_nc_ohc=c950IQkPk9EQ7kNvwEU4XME&_nc_gid=l1PdIZh9L_wUnxGvEhLxTw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfcICyiqkTG6zYZY4CqBnD3GxWjtb0Do1OSLTiWLGKMxHg&oe=68EBDD0E&_nc_sid=10d13b,"The text is automotive-related, mentioning BYD and future explorers, but does not specify any target model names like Atto3, Sealion6, or Seal. The image supports the automotive theme but does not identify a specific model.",85
BYD,instagram,Sealion6,2025-10-04T02:31:54+00:00,280,278,2,0,0,https://www.instagram.com/p/DPXuJ24CO4O/,"Pick the BYD that Fits Your Lifestyle.

With our Plug-in Hybrid (PHEV) range powered by DM technology, every journey is built on uncompromised comfort, safety, and performance. From city drives to long adventures, experience mobility redefined — whether you’re behind the wheel or simply enjoying the ride.

💰 Indicative price starting at LKR 18.2Mn upwards

📍 Visit your nearest BYD showroom today: Ampara | Colombo | Galle | Kandy | Kurunegala | Moratuwa | Jaffna | Rathnapura

📞 Call 0112 125 125 for more details

#BYDSriLanka #PHEV #NewEnergy #DriveTheFuture",,"BYDSriLanka, PHEV, NewEnergy, DriveTheFuture",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/558334592_17926757451104918_2477190484452660878_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFQ0uNBjtvItsn3UCOxIiJFf-lOeb36eGe1uNgGm6XXSyCHk5V7Gv_wVzdQVhyGgpdCIzLmvwJyNWdTj8n6K7DP&_nc_ohc=1dRvfCTNbqkQ7kNvwH7oZ5d&_nc_gid=eb6z6bvZ89jSrsAmG3pWrg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdArvWQn9Ug3BzRQUwM8FJo_x-YLB7vhLkSCKjwCUcpiQ&oe=68EBC6BD&_nc_sid=10d13b,"The image shows a vehicle with the label 'BYD Sealion S', which is a variation of the target model 'Sealion6'. The text does not mention any specific model, but the image supports the classification as 'Sealion6'.",90
BYD,instagram,general_automotive,2025-10-08T03:32:30+00:00,45,44,1,0,0,https://www.instagram.com/p/DPiIUhVkQ3c/,"With BYD, every stop takes you further.​
​
Regenerative braking transforms deceleration into energy, extending your range, protecting your brakes, and delivering efficiency engineered into every drive.​
​
Smarter performance. Built into every journey.​
​
#BYD #BYDSriLanka #BuildYourDreams  #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV",,"BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-dfw5-3.cdninstagram.com/v/t39.30808-6/558703707_122223390632123456_1254126615284302113_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFhypLu2vP1CmwLKo5AI69qln4HTgJqpdX42pYN3VdDGlN9Tmglz72nLhcg6YC7MzE&_nc_ohc=oDO3L_JR3MIQ7kNvwH0UDg1&_nc_gid=vV9qrIdth-dtDuTsTpPZhg&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afc0oeNYzl5AVBD5BfRWU06K-1xzuIxkHqIzBf3cipYDDg&oe=68EBD3BF&_nc_sid=10d13b,"The text and image discuss BYD's regenerative braking technology without mentioning any specific target models (Atto3, Sealion6, Seal). The focus is on the general automotive feature of regenerative braking.",90
BYD,facebook,general_automotive,2025-10-08T03:32:28+00:00,75,58,12,2,3,https://www.facebook.com/61553703684597/posts/122223390980123456,"With BYD, every stop takes you further.​
​
Regenerative braking transforms deceleration into energy, extending your range, protecting your brakes, and delivering efficiency engineered into every drive.​
​
Smarter performance. Built into every journey.​
​
#BYD #BYDSriLanka #BuildYourDreams  #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","With BYD, every stop takes you further.​
​
Regenerative braking transforms deceleration into energy, extending your range, protecting your brakes, and delivering efficiency engineered into every drive.​
​
Smarter performance. Built into every journey.​
​
#BYD #BYDSriLanka #BuildYourDreams  #ElectrifyingPerformance #NextGenMobility #DriveTheFuture #NEV","BYD, BYDSriLanka, BuildYourDreams, ElectrifyingPerformance, NextGenMobility, DriveTheFuture, NEV",https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/558703707_122223390632123456_1254126615284302113_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=fW63hTTa5SYQ7kNvwE-IfpX&_nc_oc=AdmdQZKPOa1gXOxvRS9Xbie1k-GXXr1WdTndgkvst4iuTAxDJoMNcw2SevphtIrddAU&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=tWq9ZxmpzfpOXT_0AGZwhg&oh=00_Afc3ETHskwIOesAFAj1QtJJZz11ixqUpPZovUWsQ2eLuow&oe=68EBD3BF,"The text and image discuss BYD's regenerative braking and efficiency features without mentioning any specific target models (Atto3, Sealion6, Seal) or other models.",90
BYD,facebook,Sealion6,2025-10-04T09:30:04+00:00,122,101,14,3,4,https://www.facebook.com/61553703684597/posts/122222869700123456,"Our customer Prasad Jayasundara shares his longest journey to Kandy, where he truly enjoyed the Kadugannawa hill road — experiencing the Sealion 6’s powerful acceleration, smooth handling, and unmatched comfort throughout the drive.

#BYDSriLanka #Sealion6 #GoFurther #CustomerStories","Our customer Prasad Jayasundara shares his longest journey to Kandy, where he truly enjoyed the Kadugannawa hill road — experiencing the Sealion 6’s powerful acceleration, smooth handling, and unmatched comfort throughout the drive.

#BYDSriLanka #Sealion6 #GoFurther #CustomerStories","BYDSriLanka, Sealion6, GoFurther, CustomerStories",https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/554082086_122221797398123456_4372850932063565237_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=w9DMEfoc91oQ7kNvwGJ4wo3&_nc_oc=AdljW1yp4-zBanThtFBhUlkvpeZXjKynvZ8_vscB-2AJTH3ey5D0baM05Nlw24ER1M4&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=tWq9ZxmpzfpOXT_0AGZwhg&oh=00_AfdZFjJ25B-j9BZL4RSkZMf1b9BVDc3YLkTrt-T70r9XoQ&oe=68EBD5E3,"The text explicitly mentions 'Sealion 6' as the vehicle model used by the customer. Additionally, the image supports this classification by prominently displaying 'BYD Sealion 6'.",100
BYD,facebook,Sealion6,2025-10-04T02:31:10+00:00,269,213,11,41,4,https://www.facebook.com/61553703684597/posts/122222829668123456,"Pick the BYD that Fits Your Lifestyle.

With our Plug-in Hybrid (PHEV) range powered by DM technology, every journey is built on uncompromised comfort, safety, and performance. From city drives to long adventures, experience mobility redefined — whether you’re behind the wheel or simply enjoying the ride.

💰 Indicative price starting at LKR 18.2Mn upwards

📍 Visit your nearest BYD showroom today: Ampara | Colombo | Galle | Kandy | Kurunegala | Moratuwa | Jaffna | Rathnapura

📞 Call 0112 125 125 for more details

#BYDSriLanka #PHEV #NewEnergy #DriveTheFuture","Pick the BYD that Fits Your Lifestyle.

With our Plug-in Hybrid (PHEV) range powered by DM technology, every journey is built on uncompromised comfort, safety, and performance. From city drives to long adventures, experience mobility redefined — whether you’re behind the wheel or simply enjoying the ride.

💰 Indicative price starting at LKR 18.2Mn upwards

📍 Visit your nearest BYD showroom today: Ampara | Colombo | Galle | Kandy | Kurunegala | Moratuwa | Jaffna | Rathnapura

📞 Call 0112 125 125 for more details

#BYDSriLanka #PHEV #NewEnergy #DriveTheFuture","BYDSriLanka, PHEV, NewEnergy, DriveTheFuture",https://scontent-lga3-2.xx.fbcdn.net/v/t15.5256-10/558160334_1165574575418167_5232038090684193991_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=7965db&_nc_ohc=SvV1rb4qeioQ7kNvwGkywDA&_nc_oc=AdkeCyQSG21b9jP4Ju-cGMo84AfSZFrrnDZuva8oLpfTGTLyLqSKTqG0cTaXqkmn09c&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=tWq9ZxmpzfpOXT_0AGZwhg&oh=00_Affl0k2Wdaz7qTbhpy61lK47AAI3XsUU1InhQjItPDgUzw&oe=68EBEBCE,"The image shows a BYD vehicle with 'Sealion6' on the front, which matches one of the target models. The text does not specify a model, but the image supports the classification.",95
BYD,facebook,general_automotive,2025-10-01T04:42:40+00:00,156,125,5,23,3,https://www.facebook.com/61553703684597/posts/122222514644123456,"Big dreams start with small steps. From playtime drives to future adventures, BYD is here to power the dreams of tomorrow’s explorers.

Wishing all little dreamers a Happy Children’s Day!","Big dreams start with small steps. From playtime drives to future adventures, BYD is here to power the dreams of tomorrow’s explorers.

Wishing all little dreamers a Happy Children’s Day!",,https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-6/556834518_122222514524123456_146831484536353837_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=CuhDtPo_0moQ7kNvwE98Q8K&_nc_oc=AdnwucfSB7McnxuVfQYi9TB-ur-tqCOR8AYn-_JaPl7xT2y9abJV0GVOL0xDSsiq11Q&_nc_zt=23&_nc_ht=scontent-atl3-3.xx&_nc_gid=2oAMCexaH3_3sno1NuympQ&oh=00_AffL2v7gn4h-aDI8AQckHSf9Eep_dt4M2NhGDEWhavcVdg&oe=68EBDD0E,"The text is automotive-related, mentioning BYD and future explorers, but does not specify any target model or other vehicle models.",90
BYD,facebook,general_automotive,2025-09-30T14:06:05+00:00,663,460,118,80,5,https://www.facebook.com/61553703684597/posts/122222438024123456,Update : Official Statement from John Keells CG Auto,Update : Official Statement from John Keells CG Auto,,https://scontent-atl3-3.xx.fbcdn.net/v/t51.82787-15/558041367_17926361526104918_6458549861722829866_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Gmu8u_kjCXAQ7kNvwEEN3Bi&_nc_oc=AdnEJKLJlMeYurZq1YZTOUOUwBqUCmVfWlANB9WMzNuxX_GVtJrYnQzh62pnx2A7Uxg&_nc_zt=23&_nc_ht=scontent-atl3-3.xx&_nc_gid=2oAMCexaH3_3sno1NuympQ&oh=00_Affnc5-mc6h01F7vXNnl2UU_8Vdg5QN5Gs2X2oMV5zZLzw&oe=68EBF657,"The text is automotive-related, discussing BYD vehicles and their release, but does not mention any specific target model (Atto3, Sealion6, Seal).",90
